Company Name,Slogan,Amount Raised,Year,Stage,Business Model,Image URL,Full Description,PDF URL,Investors,About,Industry,Tags,Customer Model,Website,Legal Name,Type
Disneyland,"Established in 1955, Disneyland stands as a towering presence in the realm of theme parks worldwide. This pitch deck helped Walt Disney raise $17 million to build Disneyland.  Disneyland raised $17M in 1954 with this deck.",$17M,1954,Seed,B2B,https://logo.clearbit.com/disneyland.disney.go.com,"Disneyland is widely recognized as a landmark in the theme park industry. Since its inception in 1955, it has held the distinction of being the first theme park of its kind, establishing a blueprint for those that followed. Its enduring popularity and influence are a testament to its role as an industry standard-bearer and a beloved destination for visitors around the world.

Disneyâs original deck isnât just interesting to read for historical gawking, itâs a masterclass in how to communicate and inspire wonder. Itâs not structured like a business plan (nor pitch deck) and doesnât say âhereâs our business model.â The presentation sells a dream.

As such, you wonât find any financial projections here: no mention of TAM, CAC, or LTV, just pure storytelling. However, the deck isnât just all hopes and dreams. There is commercial thought built in. They explain each aspect of the park and how they will offer ways for customers to spend money.

The deck helped raise $17 million it took to build Disneyland. To put that into perspective, in 1950 a dollar was worth $10.17 now, so that $17.5M would be equivalent to raising $178M today.",https://drive.google.com/file/d/1uBqkS_s8e6OcqKGKvMmjuogd1_TGoQ5n/preview,ABC-Paramount,"Established in 1955, Disneyland stands as a towering presence in the realm of theme parks worldwide. This pitch deck helped Walt Disney raise $17 million to build Disneyland.",Film / TV,"Disney, Disneyland, Theme Parks, Entertainment, TV, Film, Television",Other,disneyland.disney.go.com,Disneyland,ST
Treblle,"Treblle is an end-to-end APIOps platform that helps engineering and product teams build, ship and understand their REST based APIs. Treblle raised $1.2M in 2021 with this deck.",$1.2M,2021,Seed,B2B,https://logo.clearbit.com/treblle.com,"Zagreb-based Treblle is an all-in-one platform revolutionizing the API lifecycle. The startupâs lightweight SDK accelerates the development, shipping, and maintenance of REST-based APIs, providing engineering and DevOps teams with both speed and crucial oversight.

APIs have been growing at a CAGR of 25% for the past few years, but that growth doubled in 2023, all thanks to AI. According to Treblle predictions, AI-based APIs will continue to drive API growth in 2024 as they go hand in hand. As a result, Treblle is gearing up to welcome a substantial influx of new users, adding to its already impressive user base of over 75,000.

Treblle's position in this burgeoning market has been bolstered by successful funding rounds. In July 2021, the company secured a $1.4M seed investment led by Nauta Capital, and in December 2022, Treblle raised a $7M Series A investment, fueling its growth and innovation efforts.",https://drive.google.com/file/d/1oapcVIIJLZ6TBLpQTkCz7H-HzZ3qGRKZ/preview,VC,"Treblle is an end-to-end APIOps platform that helps engineering and product teams build, ship and understand their REST based APIs.",Software,"DevOps, DevTools, Developer Tools, API, SDK, REST API",SaaS,treblle.com,Treblle,ST
Atom Limbs,"Atom Limbs develops AI-powered, next-generation bionic prosthetic limbs. Atom Limbs raised $7.2M in 2022 with this deck.",$7.2M,2022,Seed,B2C,https://logo.clearbit.com/www.atomlimbs.com,"Atom Limbs develops non-invasive, mind-controlled artificial arms that will be capable of near-full human range of motion and restore a basic sense of touch. The company was founded by Tyler Hayes in 2019 with the mission of ending physical disability by building artificial bodies, starting with the worldâs first mind-controlled robotic wearable with individual finger control & sense of touch. Prior to Atom Limbs, Hayes was the co-Founder & COO of Bebo (acquired by Amazon) and employee #10 at YC-backed Disqus (acquired by Zeta).

The bionic arm has full finger dexterity, 200 sensors, curls 45lbs, and leverages artificial intelligence to train computers to accurately interpret electrical signals from a person's brain and use them to move and manipulate a prosthetic limb. In 2021, the company raised over $5M in RegCF seed funding via WeFunder on a SAFE note with a $40M valuation cap using these pitch decks.",https://drive.google.com/file/d/1xSgqpvvv-vc5Qlt2hulcZ0Rg6er2WBPq/preview,Crowdfunding (RegCF),"Atom Limbs develops AI-powered, next-generation bionic prosthetic limbs.",Hardware,"Hardware, Robotics, Wearable, Prosthetics, Artifical Intelligence, AI, Machine Learning, ML, AI/ML",Hardware,www.atomlimbs.com,Atom Limbs,ST
The Hustle,The Hustle is helping young professionals make better decisions throughout their day starting with business news. The Hustle raised $1M in 2017 with this deck.,$1M,2017,Seed,B2B,https://logo.clearbit.com/thehustle.co/,"In 2016, After two successful annual Hustle Con conferences, a single-day event where attendees could get tactical advice on the startup industry, Sam Parr decided to start a newsletter âThe Hustleâ that would provide its readers with all the latest news from the tech and business world each morning.

By 2017, the email has hit 100k subscribers and by 2021 1.5 million. The newsletter also had between 5-8M annual visitors to their main site and over 500k-2M annual visits to Trends (paid site) per year. Additionally, various niche FB groups had over 11k members.

In 2012, Parr received an offer from HubSpot to acquire The Hustle in a deal that included $17.2 million in cash and HubSpot shares. Sam accepted the offer and The Hustle was successfully sold to HusSpot.",https://drive.google.com/file/d/1cyhexHiWUnpcQZ1ZdB6TPI-lNt5PHiVJ/preview,VCs & Angels,The Hustle is helping young professionals make better decisions throughout their day starting with business news.,Media,"Newsletter, Events, Conferences, Marketing, Media, News",Other,thehustle.co/,The Hustle,ST
Carta Series D,"Carta is a global ownership management platform that helps companies, investors, and employees manage equity and ownership. Carta raised $80M in 2018 with this deck.",$80M,2018,Series D,B2B,https://logo.clearbit.com/https://carta.com,"Carta, a San Francisco, California-based technology company, specializes in capitalization table management and valuation software. The company was founded as eShares in 2012 by entrepreneur Henry Ward and serial investor Manu Kumar.

In 2021, 18,000 customers, including many Silicon Valley-based investors, used Cartaâs software to manage their equity. Although the company does not publicly disclose its finances, according to a person close to the company, Cartaâs annual recurring revenue reached $150 million In 2021, up from $50 million two years ago.

Over the years, Carta has raised a total of $1.16B from investors including Lightspeed Venture Partners, a16z, Spark Capital, Menlo Ventures, Union Square Ventures, and Goldman Sachs Investment Partners. 8 funding rounds include 5 Late-Stage rounds, 2 Early-Stage rounds, and 1 Seed round. The companyâs largest funding round was a Series G round held on Aug 13, 2021 for $500M at a $7.4B valuation.",https://drive.google.com/file/d/1xCXZjUUeKOFewtNSpDJaQbz1jyghIu2v/preview,VCs & Angels,"Carta is a global ownership management platform that helps companies, investors, and employees manage equity and ownership.",Fintech,"Fintech, Fundraising, Software, SaaS, Funding, Investment, Equity",SaaS,https,Carta Series D,ST
Lago Series A,Lago is an open-source billing platform for developers and finance teams. Lago Series A raised $15M in 2024 with this deck.,$15M,2024,Series A,B2B,https://logo.clearbit.com/https://getlago.com,"Lago is a Paris-based open-source billing startup that helps developers and finance teams with metering and billing needs. Lago's platform aims to offer a modular, scalable payments system for usage-based billing and metering. The company was co-founded in 2021 by a team of employees at Qonto, who envisioned building an open-source alternative to traditional payments & billing. 

After securing notable clients like AI startup Mistral, Lago used this deck to raise a $15M Series A led by FirstMark, with follow-on investment from Y Combinator. In total, Lago raised $22M as of May 2024.",https://drive.google.com/file/d/1Uvrh8S-hbuA4ahy_YPs-5GslZUB4PqUk/preview,VCs & Angels,Lago is an open-source billing platform for developers and finance teams.,Fintech,"Software, Billing, Payments, Fintech, DevTools, Developers, Finance",Other,https,Lago Series A,ST
Lago,Lago is a French open-source billing software startup backed by Y-Combinator. Lago raised $7M in 2023 with this deck.,$7M,2023,Seed,B2B,https://logo.clearbit.com/https://getlago.com,"Lago was co-founded in March 2021 by Anh-Tho Chuong and Raffi Sarkissian, both early employees at Qonto. Their vision was to build an open-source alternative to traditional payments & billing platforms. They joined Y-Combinator a month later, and after five months of building released the private beta of their open-source billing software in August 2021.

Lago's platform helps developers and finance teams manage their metering and billing needs. Some of Lago's clients include names like companies like AI startup Mistral and fintech Swan. Using this pitch deck, Lago secured a $7 million seed round from SignalFire after graduating from Y-Combinator.",https://drive.google.com/file/d/1-zEzXfeO0i5W-73vjJLkBcxdEKXuGDEr/preview,"SignalFire, Y-Combinator",Lago is a French open-source billing software startup backed by Y-Combinator.,Software,"Software, Billing, Payments, Fintech, DevTools, Developers, Finance",Other,https,Lago,ST
Zapata AI SPAC,Zapata AI focuses on solving complex problems for large enterprises with Generative AI software. Zapata AI SPAC raised $331M in 2024 with this deck.,$331M,2024,SPAC,B2B,https://logo.clearbit.com/https://zapata.ai,"Zapata AI is a Boston-based AI and quantum startup that went public through SPAC merger with former IndyCar driver Michael Andrettiâs blank-check firm, Andretti Acquisition Corp. The company uses generative AI and quantum techniques to solve complex business problems, such as enriching business analytics with data and customizing LLMs for customer-specific challenges.

The SPAC deal approved in February gave Zapata a pro-forma enterprise value of $331M (at $10 per share) when it went public in April 2024. Shares plunged 58% on the company's first trading day, slumping to $5.70 at close. Nearly 90% of $ZPTA market cap evaporated within a month, following an increasingly-common trend for SPAC stocks.",https://drive.google.com/file/d/1JBeXzp2Pism4J0ThxUrmEKnaFBUUTTgc/preview,SPAC - Andretti Acquisition Corp.,Zapata AI focuses on solving complex problems for large enterprises with Generative AI software.,AI,"Industrial, Enterprise, GenAI, AI, Artificial Intelligence, Machine Learning, ML, LLM, SaaS, Software",SaaS,https,Zapata AI SPAC,ST
beehiiv,Beehiiv is a newsletter creation & monetization platform founded by former Morning Brew employees. beehiiv raised $2.6M in 2021 with this deck.,$2.6M,2021,Seed,B2B,https://logo.clearbit.com/https://www.beehiiv.com,"Beehiiv is a newsletter platform that helps users create, publish, and monetize their newsletters. The platform was launched in 2021 by former Morning Brew employees Jacob Hurd, Tyler Denk, and Benjamin Hargett. Their vision was to productize the internal toolset that got Morning Brew to 1.5M subscribers in 5 years.

This deck was used to secure $2.6M in seed funding for Beehiiv led by Social Leverage, joined by a host of angel investors and VCs such as Spice Capital, Scott Galloway, Jake Sherman, Jason Yanowitz, and several others. The company reportedly hit $3M ARR revenue in June 2023 (up 200% YoY), hosting a network of 7,500 active newsletters which collectively generate 35M unique readers. Beehiiv is a newsletter platform that helps users create, publish, and monetize their newsletters. The platform was launched in 2021 by former Morning Brew employees Jacob Hurd, Tyler Denk, and Benjamin Hargett. Their vision was to productize the internal toolset that got Morning Brew to 1.5M subscribers in 5 years.

This deck was used to secure $2.6M in seed funding for Beehiiv led by Social Leverage, joined by a host of angel investors and VCs such as Spice Capital, Scott Galloway, Jake Sherman, Jason Yanowitz, and several others. The company reportedly hit $3M ARR revenue in June 2023 (up 200% YoY), hosting a network of 7,500 active newsletters which collectively generate 35M unique readers.",https://drive.google.com/file/d/1IVTXK1pKn9aPnnJHGecIryskclYYtNQG/preview,VC + Angels,Beehiiv is a newsletter creation & monetization platform founded by former Morning Brew employees.,Software,"Newsletter, Marketing, SaaS, Creator Economy, Creator, Substack",SaaS,https,beehiiv,ST
Warlands,Warlands is an eSports and NFT gaming company that develops play-to-earn (P2E) games.,Undisclosed,2021,Seed,B2C,https://logo.clearbit.com/https://warlands.io,"Warlands is a play-to-earn (P2E) game that combines Battle Royale and MOBA mechanics in a metaverse. In Warlands, players compete in 5v5 teams to strategically survive and conquer areas of the battlefield. The game features farming, strategy, and battles, and players can cooperate and compete against other guilds to conquer the kingdom and earn rewards.

Warlands heralds itself as the first NFT P2E game designed for eSports and incorporates blockchain technology with the competitive metaverse. Oliver Perez and Durvesh Naik founded the Alicante, Spain-based game studio and eSports startup in 2021.",https://drive.google.com/file/d/1n7ktrwZCavpJhzXvzvxDZezTl1i6DlBV/preview,,Warlands is an eSports and NFT gaming company that develops play-to-earn (P2E) games.,Gaming,"eSports, Gaming, P2E, Play-to-Earn, Metaverse, Blockchain, NFT, NFT Gaming",App,https,Warlands,ST
Fundid,"Fundid provides credit and lending tools to small businesses, particularly micro-businesses with 10 or fewer employees.  Fundid raised $3.25M in 2022 with this deck.",$3.25M,2022,Seed,B2B,https://logo.clearbit.com/https://www.getfundid.com/,"Founded by Stefanie Sample in 2021, Fundid aims to support women-owned businesses in accessing capital and developing financial knowledge. The fintech startup offers a marketplace for grants ('microloans') and a business credit card that doesnât require a personal guarantee or credit score. Fundid also educates business owners through content on its website, covering topics like grant proposals and loan financing.

Using this 12-slide pitch deck, Fundid raised a $3.25M seed round in 2022 led by fintech investor Nevcaut Ventures, joined by The Artemis Fund and Builders and Backers.

Fundid operated by having a debt facility partner underwrite its lending operations, but when the Federal Reserve raised interest rates 11 times between spring of 2022 and the end of 2023, the cost of capital became too high for Fundid to earn a profit. The company raised another $2M in 2023, but ultimately the founder made the tough decision to rescind the raise, give the money back, and lay off the team of five.",https://drive.google.com/file/d/1Kn43HZU-rN78ZuCcBXge0CrmsTS0xehq/preview,VC,"Fundid provides credit and lending tools to small businesses, particularly micro-businesses with 10 or fewer employees.",Fintech,"Fintech, SMB, Small Business, Lending, Credit Card, Loans, Microloans, Financing",SaaS,https,Fundid,ST
Rippling (Series F),"Rippling is a workforce management platform that combines HR, IT, and Finance apps on a unified data platform. Rippling (Series F) raised $200M in 2024 with this deck.",$200M,2024,Series F,B2B,https://logo.clearbit.com/https://rippling.com,"Using this investor memo, Rippling raised $200M in Series F financing in 2024 led by Coatue and signed agreements with investors to repurchase up to $590M of equity from current employees, former employees, and early investors. The round values the company at $13.5B (compared to $11.25B when the company raised $500M a year prior in 2023). As of this funding, Rippling had raised a total of $1.4B from investors.

Rippling first used an investor memo instead of a pitch deck when raising their $45M Series A led by Kleiner Perkins. The 2019 memo laid out their vision that 'businesses should have a single system for employee information across every department within the company.' 

Five years later, that vision is alive and well in the company's Series F memo. Rippling has become an exemplar for compound startups, which go against the traditional VC adage that startups should focus on doing 'only one thing.'",https://drive.google.com/file/d/1xxWN0bDK0LRuPmqLOlVSg-MSgTg7t2jt/preview,"Coatue (Lead), Founders Fund, Greenoaks, Dragoneer","Rippling is a workforce management platform that combines HR, IT, and Finance apps on a unified data platform.",Fintech,"HRTech, HR, Employee, HRIS, IT, Finance, FinTech, B2B Software, B2B SaaS",SaaS,https,Rippling (Series F),ST
Truth Social SPAC,Truth Social is a social media platform owned by Trump Media & Technology Group (TMTG). Truth Social SPAC raised $6B in 2021 with this deck.,$6B,2021,SPAC,B2C,https://logo.clearbit.com/https://truthsocial.com,"Former President Donald Trump launched the social media platform Truth Social after he was banned from major social media such as Twitter (now X.com) and Facebook. 

The platform was launched on February 21, 2022, with Donald Trump as the majority owner, owning a 58% stake in the company before it went public. As of July 2023, the site had grown to an estimate 607,000 monthly users.

Truth Social went public via SPAC merger with Digital World Acquisition Corp, a blank-check company created with the help of ARC Capital. Although this SPAC deck was published in November 2021, the merger itself was delayed until March 2024 due to financial and regulatory challenges.",https://drive.google.com/file/d/1Q9Vu6rWwG-2vBVOAO2ptdoydkWpsGmbj/preview,SPAC - EF Hutton,Truth Social is a social media platform owned by Trump Media & Technology Group (TMTG).,Social Media,Social Media,App,https,Truth Social SPAC,ST
Fisker,Fisker is an American EV manufacturer focused on creating luxury plug-in-hybrid electric vehicles. Fisker went public at a valuation $2.9B in 2020 with this deck.,$2.9B,2020,SPAC,B2B,https://logo.clearbit.com/https://www.fiskerinc.com,"Henrik Fisker launched the company in 2016, a few years after his previous startup Fisker Automotive folded. Fisker aimed to operate an 'asset-light' business model utilizing contract manufacturers to make its vehicles. 

Fisker went public through a SPAC merger in 2020 valued at $2.9 billion. The deal raised $1 billion in gross proceeds, including $500 million from existing and new investors such as AllianceBernstein and BlackRock Inc. The SPAC deck projected $13 billion revenue by 2025. 

However, the company didnât start delivering its first cars until a year ago due to regulatory challenges. Fisker faced a laundry list of troubles in 2024, after losing track of millions in payments, being delisted from the NYSE, and suspending production for six weeks.",https://drive.google.com/file/d/1zJoGosDfJ3SPMbEOYp4Q5TcKafKEDdZ4/preview,"SPAC - AllianceBernstein, BlackRock",Fisker is an American EV manufacturer focused on creating luxury plug-in-hybrid electric vehicles.,Transportation,"Electric Vehicles, Renewable Energy, Sustainability, Luxury",Hardware,https,Fisker,ST
Rogo,Rogo is an AI-powered personal research analyst for banks and investment funds. Rogo raised $7m in 2024 with this deck.,$7m,2024,Seed,B2B,https://logo.clearbit.com/https://www.rogodata.com,"New York City-based Rogo specializes in generative AI solutions for financial institutions. Users can ask questions like ""what are big bank CEOs saying about inflation on recent earnings calls?"" The platform returns an answer, which is informed by third-party data from sources, like the SEC, transcripts, and investor presentations, as well as a firmâs internal data. 

Since launching commercially in September, the startup has nabbed clients, including asset managers, hedge funds, investment banks, and private equity firms. Rogo charges a per-seat fee and has generated $1 million in revenue so far.

Rogo has announced a $7 million seed round. The funding was spearheaded by AlleyCorp, a prominent venture capital firm, with significant contributions from Company Ventures, BoxGroup, and ScOp Ventures.",https://drive.google.com/file/d/1F3KaU1m6-_Lfah_vV8h02z4qv0Vxl4c8/preview,VC,Rogo is an AI-powered personal research analyst for banks and investment funds.,AI,"Finance, Financial Services, Banking, AI, Generative AI, GenAI, Machine Learning, Big Data, ML, AI/ML",Marketplace,https,Rogo,ST
Amazon Prime Video Ads,Amazon Prime Video rolled out ads in January 2024 (projected to earn $3-5B) with this pitch deck.,$4B,2024,Advertising,B2B,https://logo.clearbit.com/www.primevideo.com,"Amazon first introduced an internet video service in 2006 (Amazon Unbox) but added the perk of free access to âunlimited, commercial-free instant streaming of more than 5,000 movies and TV showsâ to paying Prime members in February of 2011.

12 years later, Amazon has walked back the ""commercial-free"" part. Amazon rolled out ads in its Prime Video streaming service on Jan 29 2024, after announcing the change in September. Customers can pay an extra $2.99 per month for an ad-free experience.

This move aims to unlock a massive audience, with a whopping 115M monthly viewers in the US alone. Amazon used this pitch deck to sell ad placements on Prime Video to advertisers.  The $36 CPM (cost per thousand impressions) stands out as a relatively high point of entry compared to other platforms. Forecasts for Prime Video's ad revenue in 2024 range from $3B (Bank of America) to $6B (UBS).",https://drive.google.com/file/d/1uXEDM3iQkNFqBsdj4ZvakkoNyTKuDCMr/preview,Other,Amazon Prime Video rolled out ads in January 2024 with this pitch deck.,TV & Film,"TV, Film, Streaming, Advertising, SVOD, VOD",Other,https,Amazon Prime Video Ads,ST
